[1.0, u'procedure case originated']
[0.215, u'basis unilateral declaration']
[0.215, u'burden rests government']
[0.215, u'circumstances court conclude']
[0.215, u'dec 25498 94']
[0.215, u'degrading treatment accordingly']
[0.215, u'force public exposure']
[0.215, u'health injured time']
[0.215, u'interference public authority']
[0.215, u'lawful arrest detention']
[0.215, u'necessitated examination merits']
[0.215, u'regional prosecutor office']
[0.215, u'relied article convention']
[0.215, u'republic lodged court']
[0.215, u'social need particular']
[0.20999999999999999, u'104 applicant claimed']
[0.20999999999999999, u'attempt establish facts']
[0.20999999999999999, u'constitutional rights participants']
[0.20999999999999999, u'court respondent state']
[0.20999999999999999, u'duration treatment physical']
[0.20999999999999999, u'duty capable binding']
[0.20999999999999999, u'particular form ill']
[0.20999999999999999, u'positive obligation protect']
[0.20999999999999999, u'sentencing time barred']
[0.20999999999999999, u'subject conditions provided']
[0.20499999999999999, u'99 23 february']
[0.20499999999999999, u'claim seriously ill']
[0.20499999999999999, u'compensation appropriate thorough']
[0.20499999999999999, u'concerning allegations alleged']
[0.20499999999999999, u'convention 132 article']
[0.20499999999999999, u'convention reads follows']
[0.20499999999999999, u'court reiterates convention']
[0.20499999999999999, u'custody good health']
[0.20499999999999999, u'deprived life intentionally']
[0.20499999999999999, u'detention lawful admissibility']
[0.20499999999999999, u'does guarantee right']
[0.20499999999999999, u'entail use force']
[0.20499999999999999, u'furnish necessary facilities']
[0.20499999999999999, u'hands satisfactory explanation']
[0.20499999999999999, u'injured time release']
[0.20499999999999999, u'make normal use']
[0.20499999999999999, u'obligation article 46']
[0.20499999999999999, u'ought aware circumstances']
[0.20499999999999999, u'personal space afforded']
[0.20499999999999999, u'sign physical violence']
[0.20499999999999999, u'supreme court russian']
[0.20000000000000001, u'applicant medical condition']
[0.20000000000000001, u'article notion inhuman']
