[1.0, u'date procedure case']
[0.050000000000000003, u'application republic turkey']
[0.050000000000000003, u'article 10 court']
[0.050000000000000003, u'article 37 convention']
[0.050000000000000003, u'authentic human rights']
[0.050000000000000003, u'authorities conduct effective']
[0.050000000000000003, u'based decisions acceptable']
[0.050000000000000003, u'better placed international']
[0.050000000000000003, u'building strasbourg 18']
[0.050000000000000003, u'chamber determined according']
[0.050000000000000003, u'claimed total eur']
[0.050000000000000003, u'conditions provided law']
[0.050000000000000003, u'consensus contracting states']
[0.050000000000000003, u'contracting states afforded']
[0.050000000000000003, u'convention rule 74']
[0.050000000000000003, u'court assessment general']
[0.050000000000000003, u'court determine resort']
[0.050000000000000003, u'court shall necessary']
[0.050000000000000003, u'criminal acts party']
[0.050000000000000003, u'date entry force']
[0.050000000000000003, u'does far guarantee']
[0.050000000000000003, u'domestic law constitution']
[0.050000000000000003, u'domestic law relevant']
[0.050000000000000003, u'enjoy wide margin']
